"argument ID","Textstelle","Auffälligkeit
","Relevanz [1 – 3]"
"bd7e783e-2019-04-18T16:33:01Z-00002-000","GOOD","ist gut, wie es ist",3
"bd7e783e-2019-04-18T16:33:01Z-00003-000","wouldn't""t","Falsch geschrieben",2
"bd7e783e-2019-04-18T16:33:01Z-00004-000","doesn""t","Anführungszeichen statt Akzent,rest ist okay",2
"bd7e783e-2019-04-18T16:33:01Z-00005-000","GOOD","ist gut, wie es ist",3
"bd7e783e-2019-04-18T16:33:01Z-00006-000","Wouldn""t","Anführungszeichen statt Akzent,rest ist okay",2
"a60d2aa5-2019-04-18T17:14:53Z-00000-000","GOOD","ist gut, wie es ist",3
"a60d2aa5-2019-04-18T17:14:53Z-00001-000","GOOD","ist gut, wie es ist",3
"a60d2aa5-2019-04-18T17:14:53Z-00002-000","GOOD","ist gut, wie es ist",3
"a60d2aa5-2019-04-18T17:14:53Z-00003-000","GOOD","ist gut, wie es ist",3
"a60d2aa5-2019-04-18T17:14:53Z-00004-000","kompletter Text","kein Argument",1
"a60d2aa5-2019-04-18T17:14:53Z-00005-000","First round is for acceptance","zu kurz",1
"ffd45b01-2019-04-18T18:54:19Z-00000-000","GOOD","ist gut, wie es ist",3
"ffd45b01-2019-04-18T18:54:19Z-00001-000","GOOD","ist gut, wie es ist",3
"ffd45b01-2019-04-18T18:54:19Z-00002-000","GOOD","ist gut, wie es ist",3
"ffd45b01-2019-04-18T18:54:19Z-00003-000","GOOD","ist gut, wie es ist",3
"ffd45b01-2019-04-18T18:54:19Z-00004-000","GOOD","ist gut, wie es ist",3
"ffd45b01-2019-04-18T18:54:19Z-00005-000","GOOD","ist gut, wie es ist",3
"7eec18b5-2019-04-18T17:32:15Z-00000-000","didn""t","Anführungszeichen statt Akzent,rest ist okay",2
"7eec18b5-2019-04-18T17:32:15Z-00001-000","kompletter Text","kein Argument",1
"7eec18b5-2019-04-18T17:32:15Z-00002-000","Muhammad""s today""s ammad""s","(possessive ‘s)Anführungszeichen statt Akzent,rest ist okay",2
"7eec18b5-2019-04-18T17:32:15Z-00003-000","GOOD","ist gut, wie es ist",3
"780578ff-2019-04-18T13:30:33Z-00001-000",".https://profmattstrassler.com… .http://www.logicallyfallacious.com… …","URLs,rest ist okay",2
"780578ff-2019-04-18T13:30:33Z-00002-000","GOOD","ist gut, wie es ist",3
"780578ff-2019-04-18T13:30:33Z-00003-000","state at [+0,-0]","Eckige Klammern,rest ist okay",2
"780578ff-2019-04-18T13:30:33Z-00004-000"," www.washington … -code  http://youtu.be…","URLs,rest ist okay",2
"780578ff-2019-04-18T13:30:33Z-00005-000","http://science.nasa.gov...All","URLs,rest ist okay",2
"780578ff-2019-04-18T13:30:33Z-00006-000","... ----- The …  https://en.m.wikipedia.org… for grins…",".mehrere punkte,Bindestriche nacheinander, URLs,Rest ist okay",2
"780578ff-2019-04-18T13:30:33Z-00007-000","kompletter Text","kein Argument",1
"780578ff-2019-04-18T13:30:33Z-00000-000"," http://www.islamicweb.com… free. ** Islam","mehrere Sterchen,URLs,Rest ist okay",2
"7586cae6-2019-04-18T11:18:51Z-00000-000","GOOD","ist gut, wie es ist",3
"7586cae6-2019-04-18T11:18:51Z-00001-000","GOOD","ist gut, wie es ist",3
"d4aa298e-2019-04-18T19:43:24Z-00000-000","kompletter Text","kein Argument",1
"d4aa298e-2019-04-18T19:43:24Z-00001-000","GOOD","ist gut, wie es ist",3
"d4aa298e-2019-04-18T19:43:24Z-00002-000","GOOD","ist gut, wie es ist",3
"d4aa298e-2019-04-18T19:43:24Z-00003-000","GOOD","ist gut, wie es ist",3
"d4aa298e-2019-04-18T19:43:24Z-00004-000","hero!!!!!!!!!!!!!","mehrere Ausrufezeichen,Rest ist okay",2
"afd62ce-2019-04-18T16:16:13Z-00002-000","GOOD","ist gut, wie es ist",3
"afd62ce-2019-04-18T16:16:13Z-00003-000","GOOD","ist gut, wie es ist",3
"afd62ce-2019-04-18T16:16:13Z-00004-000","GOOD","ist gut, wie es ist",3
"afd62ce-2019-04-18T16:16:13Z-00005-000","protects a woman""s choice","(possessive ‘s)Anführungszeichen statt Akzent,rest ist okay",2
"afd62ce-2019-04-18T16:16:13Z-00006-000","------------------------","mehrere Bindestriche,Rest ist okay",2
"afd62ce-2019-04-18T16:16:13Z-00007-000","_______________________________________________________","mehrere Unterstriche,Rest ist okay",2
"afd62ce-2019-04-18T16:16:13Z-00000-000","GOOD","ist gut, wie es ist",3
"afd62ce-2019-04-18T16:16:13Z-00001-000","GOOD","ist gut, wie es ist",3
"79b08345-2019-04-18T12:52:37Z-00001-000","HERE:https://docs.google.com......-Kritiks ","URLs,rest ist okay",2
"79b08345-2019-04-18T12:52:37Z-00000-000","I accept.","zu kurz",1
"3c02a6e-2019-04-18T17:02:32Z-00000-000","kompletter Text","kein Argument",1
"3c02a6e-2019-04-18T17:02:32Z-00001-000","GOOD","ist gut, wie es ist",3
"3c02a6e-2019-04-18T17:02:32Z-00002-000","The Robots are making human as lazy and also its not good for future world.","ist gut, wie es ist",3
"24034d4a-2019-04-18T16:35:18Z-00000-000","GOOD","ist gut, wie es ist",3
"24034d4a-2019-04-18T16:35:18Z-00001-000","GOOD","ist gut, wie es ist",3
"24034d4a-2019-04-18T16:35:18Z-00002-000","GOOD","ist gut, wie es ist",3
"24034d4a-2019-04-18T16:35:18Z-00003-000","GOOD","ist gut, wie es ist",3
"24034d4a-2019-04-18T16:35:18Z-00004-000","(greatschools.org)","URLs,rest ist okay",2
"24034d4a-2019-04-18T16:35:18Z-00005-000","GOOD","ist gut, wie es ist",3
"b0ddc07a-2019-04-18T12:49:56Z-00004-000","GOOD","ist gut, wie es ist",3
"b0ddc07a-2019-04-18T12:49:56Z-00005-000","GOOD","ist gut, wie es ist",3
"b0ddc07a-2019-04-18T12:49:56Z-00006-000","kompletter Text","kein Argument",1
"b0ddc07a-2019-04-18T12:49:56Z-00007-000","kompletter Text","kein Argument",1
"b0ddc07a-2019-04-18T12:49:56Z-00000-000"," evil http://www.npr.org...","URLs,rest ist okay",2
"b0ddc07a-2019-04-18T12:49:56Z-00001-000","GOOD","ist gut, wie es ist",3
"b0ddc07a-2019-04-18T12:49:56Z-00002-000","GOOD","ist gut, wie es ist",3
"b0ddc07a-2019-04-18T12:49:56Z-00003-000","GOOD","ist gut, wie es ist",3
"a617b5f8-2019-04-18T12:37:07Z-00004-000","[…] […]","Eckige Klammern,rest ist okay",2
"a617b5f8-2019-04-18T12:37:07Z-00005-000","[T]he Sources http://law2.umkc.edu…","Eckige Klammern,URLs,rest ist okay",2
"a617b5f8-2019-04-18T12:37:07Z-00006-000","I accept.","zu kurz",1
"a617b5f8-2019-04-18T12:37:07Z-00007-000","(2).Sources 1. http://www.law.uchicago.edu...2. http://www.heritage.org...","URLs,rest ist okay",2
"a617b5f8-2019-04-18T12:37:07Z-00000-000","what a clown","zu kurz",1
"a617b5f8-2019-04-18T12:37:07Z-00001-000","kompletter Text","kein Argument",1
"a617b5f8-2019-04-18T12:37:07Z-00002-000","GOOD","ist gut, wie es ist",3
"a617b5f8-2019-04-18T12:37:07Z-00003-000","restrictions. . . .",".mehrere punkte,Rest ist okay",2
"a99a31aa-2019-04-18T16:24:33Z-00000-000","all points should be given to me.","zu kurz",1
"a99a31aa-2019-04-18T16:24:33Z-00001-000","He's very good. great scramble and aim is good.","zu kurz",1
"a99a31aa-2019-04-18T16:24:33Z-00002-000","GOOD","ist gut, wie es ist",3
"a99a31aa-2019-04-18T16:24:33Z-00003-000","ronaldo is bad","zu kurz",1
"32ec86bf-2019-04-18T12:39:11Z-00000-000","___________________________________________________","mehrere Unterstriche,Rest ist okay",2
"32ec86bf-2019-04-18T12:39:11Z-00001-000","You may have the first argument.","zu kurz",1
"3b334439-2019-04-18T14:16:24Z-00000-000","GOOD","ist gut, wie es ist",3
"3b334439-2019-04-18T14:16:24Z-00001-000","GOOD","ist gut, wie es ist",3
"3b334439-2019-04-18T14:16:24Z-00002-000","GOOD","ist gut, wie es ist",3
"3b334439-2019-04-18T14:16:24Z-00003-000","GOOD","ist gut, wie es ist",3
"a8803c78-2019-04-18T11:28:17Z-00001-000"," https://www.lginjuryfirm.com... https://www.ibtimes.co.uk...","URLs,rest ist okay",2
"a8803c78-2019-04-18T11:28:17Z-00002-000"," https://www.lginjuryfirm.com... https://ehssafetynewsamerica.com...","URLs,rest ist okay",2
"a8803c78-2019-04-18T11:28:17Z-00003-000","GOOD","ist gut, wie es ist",3
"a8803c78-2019-04-18T11:28:17Z-00004-000"," https://blog.cargurus.com... https://apecsec.org...","URLs,rest ist okay",2
"a8803c78-2019-04-18T11:28:17Z-00005-000","GOOD","ist gut, wie es ist",3
"a8803c78-2019-04-18T11:28:17Z-00000-000"," https://www.mirror.co.uk...","URLs,rest ist okay",2
"c79c2590-2019-04-18T19:03:21Z-00000-000","kompletter Text","kein Argument",1
"c79c2590-2019-04-18T19:03:21Z-00001-000","kompletter Text","kein Argument",1
"c79c2590-2019-04-18T19:03:21Z-00002-000"," http://starwars.wikia.com… http://starwars.wikia.com…","URLs,rest ist okay",2
"c79c2590-2019-04-18T19:03:21Z-00003-000","----------------------------------------------------------- http://starwars.wikia.com...","mehrere Bindestriche,URLs,Rest ist okay",2
"197ac9b-2019-04-18T19:47:57Z-00000-000","GOOD","ist gut, wie es ist",3
"197ac9b-2019-04-18T19:47:57Z-00001-000","GOOD","ist gut, wie es ist",3
"197ac9b-2019-04-18T19:47:57Z-00002-000","GOOD","ist gut, wie es ist",3
"197ac9b-2019-04-18T19:47:57Z-00003-000","GOOD","ist gut, wie es ist",3
"197ac9b-2019-04-18T19:47:57Z-00004-000","GOOD","ist gut, wie es ist",3
"197ac9b-2019-04-18T19:47:57Z-00005-000","GOOD","ist gut, wie es ist",3
"12bb7847-2019-04-18T11:34:03Z-00000-000","GOOD","ist gut, wie es ist",3
"12bb7847-2019-04-18T11:34:03Z-00001-000"," https://www.theguardian.com...","URLs,rest ist okay",2
"2eb9da00-2019-04-18T12:20:27Z-00000-000","kompletter Text","kein Argument",1
"2eb9da00-2019-04-18T12:20:27Z-00001-000","GOOD","ist gut, wie es ist",3
"ab67c808-2019-04-18T16:08:33Z-00000-000"," <------The bibles =========== [2.]  http://en.wikipedia.org.","kommiche Zeichen,Mehrere gleichzeichen,Eckige Klammern,URLs,Rest ist okay",2
"ab67c808-2019-04-18T16:08:33Z-00001-000"," =========== [2]  http://en.wikipedia.org...",",Mehrere gleichzeichen,Eckige Klammern,URLs,Rest ist okay",2
"ab67c808-2019-04-18T16:08:33Z-00002-000","GOOD","ist gut, wie es ist",3
"ab67c808-2019-04-18T16:08:33Z-00003-000"," =======================",",Mehrere gleichzeichen,Rest ist okay",2
"ab67c808-2019-04-18T16:08:33Z-00004-000","<---- How can","kommiche Zeichen,Rest ist okay",2
"ab67c808-2019-04-18T16:08:33Z-00005-000"," =======================",",Mehrere gleichzeichen,Rest ist okay",2
"bd4972ff-2019-04-18T17:01:27Z-00000-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00001-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00002-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00003-000"," Last round (a minimum of 4 yo mama jokes)","Unnützliche , Rest ist okay",2
"bd4972ff-2019-04-18T17:01:27Z-00004-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00005-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00006-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00007-000","GOOD","ist gut, wie es ist",3
"bd4972ff-2019-04-18T17:01:27Z-00008-000","I accept.","zu kurz",1
"bd4972ff-2019-04-18T17:01:27Z-00009-000","kompletter Text","kein Argument",1
"62106601-2019-04-18T18:24:49Z-00000-000","kompletter Text","kein Argument",1
"62106601-2019-04-18T18:24:49Z-00001-000","kompletter Text","kein Argument",1
"62106601-2019-04-18T18:24:49Z-00002-000","kompletter Text","kein Argument",1
"62106601-2019-04-18T18:24:49Z-00003-000","kompletter Text","kein Argument",1
"62106601-2019-04-18T18:24:49Z-00004-000"," http://www.debate.org… bystanders[9]","Eckige Klammern,URLs,rest ist okay",2
"62106601-2019-04-18T18:24:49Z-00005-000","[2] http://www.justicedenied.org............","Eckige Klammern,URLs,rest ist okay",2
"62106601-2019-04-18T18:24:49Z-00006-000","I accept.","zu kurz",1
"62106601-2019-04-18T18:24:49Z-00007-000","[1] http://en.wiktionary.org.........","Eckige Klammern,URLs,rest ist okay",2
"9d4b91c-2019-04-18T16:00:03Z-00000-000","kompletter Text","kein Argument",1
"9d4b91c-2019-04-18T16:00:03Z-00001-000","GOOD","ist gut, wie es ist",3
"9d4b91c-2019-04-18T16:00:03Z-00002-000","kompletter Text","kein Argument",1
"9d4b91c-2019-04-18T16:00:03Z-00003-000","GOOD","ist gut, wie es ist",3
"9d4b91c-2019-04-18T16:00:03Z-00004-000","GOOD","ist gut, wie es ist",3
"9d4b91c-2019-04-18T16:00:03Z-00005-000","GOOD","ist gut, wie es ist",3
"aa880c2-2019-04-18T18:46:26Z-00001-000","kompletter Text","kein Argument",3
"aa880c2-2019-04-18T18:46:26Z-00002-000","GOOD","ist gut, wie es ist",3
"aa880c2-2019-04-18T18:46:26Z-00000-000","Vote con","zu kurz",1
"42c0fb3a-2019-04-18T13:13:51Z-00002-000","It can be whatever you want it to BEE.","zu kurz",1
"42c0fb3a-2019-04-18T13:13:51Z-00003-000","GOOD","ist gut, wie es ist",3
"42c0fb3a-2019-04-18T13:13:51Z-00004-000","GOOD","ist gut, wie es ist",3
"42c0fb3a-2019-04-18T13:13:51Z-00005-000","GOOD","ist gut, wie es ist",3
"42c0fb3a-2019-04-18T13:13:51Z-00006-000","GOOD","ist gut, wie es ist",3
"42c0fb3a-2019-04-18T13:13:51Z-00000-000","Space, Time, these are the voyages of the star ship enterprise","zu kurz",1
"42c0fb3a-2019-04-18T13:13:51Z-00001-000","?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!","kein Text",1
"9a00b083-2019-04-18T18:09:34Z-00000-000","[2] http://dictionary.reference.com","Eckige Klammern,URLs,rest ist okay",2
